policy_id,policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported
POL121306,NY,300,1028.9,22,OTHER,High School,Doctor,reading,2024-07-06,Multi-vehicle Collision,Front,Major Damage,Ambulance,PA,New Ian,3,4,3,0,No,3168.88,4599.49,N
POL127498,CA,400,1010.85,71,OTHER,College,Manager,hiking,2025-03-07,Vehicle Theft,Rear,Total Loss,,CA,Jasonton,12,4,1,4,No,22313.15,19029.51,N
POL124837,IL,200,1099.72,24,MALE,College,Engineer,hiking,2025-07-19,Single Vehicle Collision,Side,Total Loss,Fire,GA,Nguyenmouth,21,2,3,3,No,14329.04,20347.69,Y
POL113882,PA,1000,1073.57,22,MALE,PhD,Doctor,camping,2025-02-23,Vehicle Theft,Rear,Total Loss,,NY,Lake Ashley,15,1,3,3,Yes,4468.0,4303.76,Y
POL125314,GA,1000,808.61,52,FEMALE,Masters,Technician,paintball,2024-08-29,Single Vehicle Collision,Side,Major Damage,Ambulance,NC,Carrillobury,13,1,4,2,No,16004.85,21451.87,Y
POL105089,OH,200,610.95,67,FEMALE,College,Doctor,chess,2024-10-16,Single Vehicle Collision,Front,Major Damage,,GA,Lake Anthonyhaven,20,2,2,1,No,22677.14,19068.98,N
POL110322,NC,500,978.52,62,OTHER,Masters,Engineer,hiking,2024-12-15,Parked Car,Side,Total Loss,Fire,FL,Hartburgh,8,3,4,0,No,11797.35,12501.43,N
POL116048,GA,300,1383.58,22,MALE,High School,Lawyer,camping,2025-08-27,Vehicle Theft,Front,Major Damage,Fire,NY,North Rose,2,2,1,2,No,12229.52,13224.72,N
POL121834,PA,200,1283.75,63,OTHER,PhD,Engineer,paintball,2024-11-15,Multi-vehicle Collision,Side,Total Loss,Fire,FL,West Robertmouth,2,1,4,0,Yes,8572.89,16362.42,Y
POL113477,CA,600,777.18,71,OTHER,College,Doctor,yachting,2025-07-08,Multi-vehicle Collision,Unknown,Major Damage,Fire,CA,Lake Kimberly,3,2,3,1,Yes,2920.25,2734.1,N
POL101854,TX,700,1305.3,68,MALE,High School,Engineer,hiking,2024-05-27,Single Vehicle Collision,Unknown,Minor Damage,Police,IL,Kristinafurt,4,3,4,3,No,17778.3,19403.96,N
POL129933,TX,200,983.19,54,FEMALE,High School,Technician,yachting,2025-02-04,Single Vehicle Collision,Side,Minor Damage,,GA,East Kimberly,8,3,0,2,Yes,19792.86,17958.41,N
POL126565,CA,200,1326.16,31,MALE,High School,Teacher,paintball,2023-12-30,Multi-vehicle Collision,Unknown,Total Loss,Fire,FL,Port Jennifer,14,1,3,5,No,12827.6,19787.35,N
POL120646,OH,700,1229.64,50,OTHER,College,Manager,chess,2024-05-23,Single Vehicle Collision,Side,Total Loss,Fire,PA,Cooperhaven,3,2,4,4,No,15623.69,13794.9,N
POL118499,NC,800,693.04,30,MALE,Masters,Doctor,movies,2024-06-09,Multi-vehicle Collision,Front,Minor Damage,Ambulance,FL,Parksborough,15,4,2,1,No,6852.66,8818.17,N
POL121467,OH,800,1299.62,41,FEMALE,Masters,Doctor,reading,2024-07-10,Vehicle Theft,Rear,Minor Damage,Police,NC,West Chelsea,19,4,0,1,Yes,17541.79,15035.27,N
POL111866,TX,400,1298.6,31,OTHER,College,Clerk,hiking,2025-03-25,Parked Car,Front,Major Damage,Ambulance,TX,New Michaelberg,16,1,1,4,No,8732.64,13259.93,N
POL103825,NY,400,1416.29,53,OTHER,PhD,Doctor,yachting,2024-05-31,Parked Car,Unknown,Total Loss,Ambulance,CA,Mccormickfort,22,2,2,0,Yes,13027.56,17189.18,N
POL115577,PA,300,1103.35,43,FEMALE,PhD,Clerk,yachting,2025-04-14,Parked Car,Side,Total Loss,,NY,East Stephen,21,4,0,0,No,11665.36,12484.26,N
POL104782,IL,800,1364.39,31,OTHER,College,Doctor,yachting,2024-12-05,Multi-vehicle Collision,Front,Major Damage,Ambulance,PA,Port Emily,21,1,4,0,Yes,8114.25,9288.05,N
POL114090,GA,200,1292.06,51,FEMALE,College,Doctor,chess,2025-09-14,Vehicle Theft,Side,Total Loss,Fire,NY,Christieborough,19,3,0,4,No,11899.06,12658.48,N
POL119363,OH,200,1187.77,26,OTHER,High School,Engineer,chess,2024-07-08,Parked Car,Side,Major Damage,Fire,NY,Staceymouth,10,4,0,4,Yes,24664.64,21774.08,N
POL116732,NC,600,1128.62,42,OTHER,Masters,Clerk,chess,2024-01-05,Multi-vehicle Collision,Front,Total Loss,Police,TX,Annaside,5,2,0,0,No,9588.01,16594.86,N
POL110600,MI,600,1258.4,30,FEMALE,College,Engineer,chess,2024-03-22,Vehicle Theft,Unknown,Minor Damage,,NY,Wallberg,9,4,0,3,No,13400.12,15091.93,N
POL115120,IL,600,685.82,43,FEMALE,PhD,Manager,yachting,2025-03-17,Vehicle Theft,Side,Major Damage,Fire,PA,North Brittany,11,2,4,3,No,10400.55,10704.98,N
POL123099,MI,800,634.43,46,OTHER,High School,Sales,movies,2025-03-24,Multi-vehicle Collision,Unknown,Total Loss,,IL,Port Joshuaberg,13,1,3,3,Yes,12596.04,19913.0,N
POL106955,FL,700,657.84,75,FEMALE,Masters,Doctor,yachting,2025-06-04,Parked Car,Front,Minor Damage,Fire,PA,Adamsport,16,3,0,1,Yes,17102.48,20075.89,N
POL125830,IL,300,1154.46,18,OTHER,PhD,Teacher,camping,2023-12-27,Single Vehicle Collision,Front,Minor Damage,Ambulance,FL,Mariashire,13,2,3,5,Yes,11427.06,15839.43,N
POL109586,MI,200,1496.63,47,MALE,Masters,Sales,paintball,2024-06-27,Vehicle Theft,Front,Minor Damage,Ambulance,FL,Christopherhaven,18,4,2,1,No,3660.81,3482.63,N
POL118357,GA,200,1400.0,55,FEMALE,PhD,Manager,chess,2024-07-10,Multi-vehicle Collision,Side,Minor Damage,Police,MI,Port James,8,4,2,3,No,4367.05,6926.24,N
POL107792,OH,400,1209.61,40,FEMALE,PhD,Sales,movies,2025-09-12,Vehicle Theft,Front,Minor Damage,Ambulance,NY,Kristinshire,9,4,1,2,No,2726.05,3875.21,N
POL107145,FL,300,842.03,29,MALE,High School,Clerk,chess,2025-06-06,Vehicle Theft,Unknown,Major Damage,Ambulance,MI,Port Teresa,13,1,3,2,Yes,16591.71,22631.53,N
POL116634,FL,700,1390.79,67,FEMALE,College,Lawyer,camping,2025-04-01,Vehicle Theft,Rear,Major Damage,Police,OH,South Williammouth,22,3,1,5,No,6279.41,8329.83,N
POL107192,IL,500,992.55,42,MALE,Masters,Doctor,hiking,2025-03-28,Vehicle Theft,Unknown,Total Loss,Ambulance,TX,Lake Melissaview,12,4,4,0,Yes,20348.32,18686.74,N
POL120824,IL,300,1249.03,23,MALE,PhD,Lawyer,camping,2025-10-20,Vehicle Theft,Side,Total Loss,Police,MI,Williamshaven,14,3,3,0,No,7237.65,6997.11,N
POL126607,MI,800,1499.09,73,FEMALE,PhD,Lawyer,movies,2024-10-08,Vehicle Theft,Side,Total Loss,Ambulance,IL,Port Ashleychester,10,3,1,4,Yes,9388.01,10982.38,Y
POL103653,TX,300,1071.12,64,MALE,High School,Engineer,yachting,2024-10-03,Multi-vehicle Collision,Side,Total Loss,,TX,South Bridgetburgh,11,1,2,5,No,21541.9,20739.24,Y
POL111928,OH,400,1135.98,61,OTHER,High School,Doctor,reading,2024-04-06,Vehicle Theft,Rear,Minor Damage,Ambulance,PA,Port Joseph,23,4,2,5,Yes,10389.0,15945.85,N
POL122834,PA,200,600.91,37,MALE,College,Clerk,yachting,2025-09-21,Single Vehicle Collision,Front,Major Damage,Fire,MI,West Markburgh,2,4,3,3,No,3106.39,5436.97,N
POL122756,NC,200,1482.98,58,MALE,PhD,Engineer,camping,2024-07-22,Parked Car,Front,Total Loss,,FL,New Melinda,23,2,1,3,No,6128.08,6395.12,N
POL114237,FL,500,813.07,65,MALE,College,Clerk,paintball,2024-08-29,Vehicle Theft,Unknown,Total Loss,,IL,Rodriguezland,14,2,1,0,Yes,12251.47,12524.73,Y
POL118654,IL,800,1002.58,53,FEMALE,High School,Doctor,camping,2024-09-06,Single Vehicle Collision,Side,Total Loss,Police,NC,Port Chelsea,5,2,1,2,Yes,7267.1,11220.55,N
POL129751,PA,200,947.53,51,MALE,PhD,Lawyer,paintball,2024-07-24,Single Vehicle Collision,Side,Major Damage,,NY,West Josephland,5,3,4,2,Yes,9751.59,15498.71,N
POL115227,CA,200,1259.39,47,FEMALE,Masters,Teacher,yachting,2025-05-29,Vehicle Theft,Side,Major Damage,Fire,TX,Port Timothy,1,2,3,5,Yes,18443.39,15758.81,N
POL117175,NC,400,983.06,19,FEMALE,High School,Doctor,hiking,2025-07-03,Single Vehicle Collision,Side,Total Loss,Fire,NC,Port Charles,18,3,0,3,No,3405.55,5837.9,N
POL122512,OH,1000,984.78,39,FEMALE,High School,Doctor,movies,2025-01-11,Vehicle Theft,Side,Total Loss,Ambulance,GA,Port Christopherview,9,4,3,5,No,8400.23,9114.75,N
POL126079,PA,400,1333.11,35,OTHER,Masters,Manager,paintball,2024-10-19,Parked Car,Front,Minor Damage,,OH,Simpsonville,17,3,3,0,Yes,2933.21,3825.78,N
POL119767,NC,700,806.29,54,OTHER,College,Technician,movies,2024-12-25,Parked Car,Side,Major Damage,,TX,New Toddmouth,19,1,4,3,Yes,8731.51,8227.54,Y
POL103096,GA,300,1294.96,74,MALE,Masters,Teacher,hiking,2025-04-14,Single Vehicle Collision,Rear,Major Damage,Ambulance,OH,Kylemouth,6,2,3,0,Yes,1147.63,1261.43,Y
POL107303,FL,600,662.93,71,FEMALE,College,Doctor,hiking,2025-02-15,Single Vehicle Collision,Side,Total Loss,Ambulance,NY,Elizabethton,10,3,2,2,No,11253.44,21620.1,N
POL103152,MI,800,1362.47,74,FEMALE,College,Teacher,chess,2023-12-02,Multi-vehicle Collision,Rear,Major Damage,Fire,FL,Washingtonborough,0,2,4,0,No,2684.95,2598.25,Y
POL108754,GA,800,831.79,34,FEMALE,Masters,Lawyer,movies,2024-11-12,Multi-vehicle Collision,Side,Minor Damage,Police,IL,Lambshire,16,1,2,0,Yes,2012.39,3196.6,Y
POL110616,NY,500,1217.52,57,OTHER,Masters,Technician,paintball,2025-11-04,Multi-vehicle Collision,Side,Total Loss,Ambulance,NY,South Zacharyton,22,2,0,4,No,19224.52,22440.48,N
POL101246,OH,800,1285.26,38,OTHER,PhD,Lawyer,paintball,2024-12-05,Multi-vehicle Collision,Rear,Total Loss,,OH,Sheilamouth,13,1,1,3,No,24989.33,22435.21,N
POL117348,MI,500,731.59,52,MALE,PhD,Doctor,camping,2025-10-09,Multi-vehicle Collision,Rear,Minor Damage,Fire,NY,North Lisafurt,0,2,3,2,Yes,7318.0,6284.88,N
POL121245,IL,1000,879.84,54,MALE,College,Clerk,paintball,2024-07-20,Multi-vehicle Collision,Side,Major Damage,Ambulance,GA,Dennismouth,14,2,2,2,No,19453.76,18704.9,N
POL113665,MI,400,631.49,29,OTHER,College,Manager,camping,2025-10-15,Vehicle Theft,Side,Total Loss,Fire,NY,North Elizabethfurt,13,3,0,4,No,16057.01,24768.59,N
POL115484,CA,400,612.71,72,OTHER,High School,Doctor,hiking,2024-01-04,Multi-vehicle Collision,Side,Major Damage,,OH,Jeffreychester,9,3,4,3,Yes,316.74,528.82,N
POL116765,NC,400,920.35,40,MALE,Masters,Manager,chess,2025-01-03,Multi-vehicle Collision,Front,Total Loss,Police,PA,South James,4,4,1,0,No,12701.35,15513.92,N
POL103652,IL,500,643.08,41,MALE,Masters,Manager,paintball,2024-10-23,Parked Car,Front,Major Damage,Ambulance,OH,New Theresaburgh,21,1,2,4,Yes,9290.68,17890.11,N
POL110710,OH,200,1011.93,47,FEMALE,PhD,Engineer,hiking,2025-10-19,Parked Car,Front,Minor Damage,,FL,South Debra,18,2,3,5,Yes,6732.32,7253.04,N
POL123679,NC,600,789.1,50,OTHER,Masters,Manager,hiking,2025-08-27,Multi-vehicle Collision,Front,Minor Damage,Ambulance,IL,West Nicholas,17,3,1,1,No,6718.04,12928.7,N
POL121229,FL,300,680.84,56,MALE,High School,Sales,yachting,2024-10-20,Vehicle Theft,Unknown,Total Loss,Ambulance,IL,Port Scott,11,1,1,3,No,3190.62,4222.66,N
POL118452,CA,800,1314.77,25,FEMALE,Masters,Technician,camping,2024-05-09,Parked Car,Side,Major Damage,Ambulance,NY,Jacksonport,12,2,1,3,Yes,15329.8,12933.58,N
POL115067,TX,600,1373.08,46,OTHER,High School,Manager,chess,2024-02-12,Multi-vehicle Collision,Front,Major Damage,Fire,GA,North Lisa,20,4,3,5,No,14218.65,13376.04,N
POL123570,PA,200,1306.58,61,OTHER,Masters,Engineer,chess,2023-11-21,Single Vehicle Collision,Side,Total Loss,,FL,Port Christinaville,0,1,0,0,No,16924.07,23216.81,N
POL119522,MI,800,1327.35,28,MALE,High School,Doctor,reading,2024-08-17,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,NY,New Autumn,14,4,2,0,No,8976.06,8236.58,Y
POL109289,IL,200,1075.14,47,MALE,Masters,Engineer,yachting,2023-12-26,Multi-vehicle Collision,Unknown,Minor Damage,,PA,Shannonfurt,4,4,2,1,No,24791.86,21733.15,Y
POL123735,FL,400,1235.25,71,FEMALE,College,Clerk,paintball,2025-09-30,Multi-vehicle Collision,Unknown,Minor Damage,Fire,IL,Kimberlyshire,22,3,0,5,Yes,2909.36,2493.8,N
POL113733,TX,400,1067.15,36,MALE,College,Manager,camping,2024-11-19,Parked Car,Front,Total Loss,Ambulance,NC,West Catherine,17,3,1,5,No,24351.55,22704.07,N
POL117869,TX,200,901.28,35,MALE,High School,Teacher,yachting,2024-11-19,Vehicle Theft,Unknown,Minor Damage,Ambulance,OH,Thompsonville,10,3,0,4,Yes,8276.67,11212.19,N
POL123011,CA,200,1001.58,32,OTHER,High School,Clerk,camping,2025-05-01,Vehicle Theft,Rear,Total Loss,Fire,FL,Leonardshire,12,3,1,0,No,3621.25,5093.34,Y
POL103923,TX,1000,818.65,35,OTHER,High School,Engineer,camping,2025-02-25,Vehicle Theft,Side,Major Damage,Ambulance,OH,South Brianbury,18,1,2,2,No,2065.92,2274.22,N
POL108501,TX,1000,1017.34,40,FEMALE,Masters,Lawyer,camping,2025-01-27,Multi-vehicle Collision,Rear,Total Loss,Police,TX,Port Tristanfort,7,4,3,3,No,13163.71,14968.71,Y
POL125304,NY,500,678.28,49,OTHER,College,Engineer,movies,2025-09-05,Single Vehicle Collision,Unknown,Major Damage,Police,IL,Lynchhaven,6,2,2,4,No,10258.45,13612.44,N
POL111612,MI,600,1004.45,64,FEMALE,High School,Engineer,camping,2024-02-09,Single Vehicle Collision,Side,Major Damage,Fire,CA,Pattersonfort,5,4,2,0,No,10719.96,11220.82,N
POL124582,PA,700,1025.41,30,MALE,Masters,Lawyer,hiking,2025-01-29,Parked Car,Unknown,Major Damage,Ambulance,MI,North Leahmouth,13,3,3,3,No,10303.94,14618.69,N
POL119803,CA,800,1187.04,51,FEMALE,Masters,Engineer,movies,2024-06-29,Parked Car,Front,Major Damage,Ambulance,NC,New Jennifer,20,1,1,1,No,13697.48,13273.32,N
POL127676,FL,700,1457.67,50,FEMALE,College,Technician,paintball,2025-06-27,Multi-vehicle Collision,Front,Minor Damage,Ambulance,NY,New Deanview,6,3,1,5,Yes,17296.26,15619.5,N
POL114922,IL,500,1498.63,52,OTHER,College,Lawyer,paintball,2024-10-29,Multi-vehicle Collision,Unknown,Major Damage,Ambulance,OH,Hansonberg,21,3,2,5,No,5651.68,10729.23,N
POL112753,IL,200,792.27,19,MALE,College,Clerk,hiking,2024-11-07,Single Vehicle Collision,Unknown,Minor Damage,,TX,Michaelbury,12,3,2,0,Yes,8159.15,10929.39,N
POL109383,NY,1000,1182.37,27,OTHER,High School,Manager,reading,2024-01-02,Parked Car,Side,Major Damage,Ambulance,MI,South Nicoleshire,0,3,2,5,Yes,3074.32,4820.02,N
POL121846,IL,500,1042.65,52,MALE,PhD,Doctor,yachting,2023-12-08,Single Vehicle Collision,Unknown,Total Loss,Ambulance,IL,Jonathanfort,20,4,4,3,Yes,2834.18,3141.27,N
POL105299,OH,800,754.85,61,FEMALE,PhD,Lawyer,yachting,2023-12-04,Vehicle Theft,Rear,Minor Damage,Ambulance,TX,Lake Roybury,9,4,2,2,Yes,20577.33,18894.47,N
POL121237,GA,300,1195.27,58,FEMALE,High School,Doctor,movies,2025-03-04,Multi-vehicle Collision,Front,Major Damage,,IL,North Eric,15,2,0,2,No,3458.9,3533.95,N
POL118735,NC,500,607.79,55,FEMALE,College,Engineer,movies,2023-12-31,Multi-vehicle Collision,Rear,Major Damage,,CA,Lake Elizabeth,19,2,0,1,No,12756.78,12143.96,N
POL128683,CA,500,1162.74,42,FEMALE,PhD,Manager,reading,2024-07-30,Vehicle Theft,Front,Total Loss,Ambulance,TX,Johntown,6,3,1,0,No,1670.53,2665.06,N
POL121737,TX,400,809.4,18,MALE,High School,Teacher,yachting,2024-07-28,Parked Car,Rear,Major Damage,Police,GA,Brownberg,18,1,4,4,Yes,4091.97,3975.76,N
POL116085,FL,700,923.6,32,MALE,College,Clerk,camping,2023-12-07,Multi-vehicle Collision,Unknown,Minor Damage,Police,OH,Boyerfort,1,1,0,5,Yes,8574.85,9837.9,N
POL113285,NC,300,722.88,67,MALE,College,Lawyer,movies,2025-06-22,Single Vehicle Collision,Side,Minor Damage,Police,NC,East Karen,11,3,1,2,Yes,12446.55,11733.28,N
POL118949,OH,300,1470.27,18,FEMALE,College,Engineer,camping,2024-04-19,Single Vehicle Collision,Side,Total Loss,,OH,Brianville,21,3,3,3,Yes,22495.76,23181.32,N
POL125058,MI,200,1318.16,67,MALE,College,Manager,paintball,2024-06-18,Parked Car,Rear,Major Damage,Police,GA,Torresfurt,17,3,0,5,No,6121.11,8739.58,N
POL100734,CA,300,772.78,37,FEMALE,Masters,Doctor,yachting,2024-12-21,Single Vehicle Collision,Side,Minor Damage,Police,CA,Port Theresamouth,19,2,4,3,No,1739.91,2872.92,N
POL110212,FL,300,1041.5,46,MALE,Masters,Teacher,yachting,2024-06-27,Single Vehicle Collision,Unknown,Major Damage,Ambulance,CA,Torresfurt,20,2,0,2,Yes,6240.37,10537.09,N
POL106644,PA,1000,1027.3,53,OTHER,PhD,Sales,hiking,2024-07-18,Single Vehicle Collision,Front,Minor Damage,Police,TX,East Lori,7,2,0,3,No,5940.92,8978.33,N
POL109148,GA,200,891.66,25,OTHER,PhD,Clerk,camping,2024-08-31,Parked Car,Front,Minor Damage,Police,GA,Snyderborough,12,3,2,4,Yes,29198.75,24392.17,N
POL101960,NY,400,925.1,31,MALE,PhD,Doctor,chess,2024-06-18,Single Vehicle Collision,Front,Major Damage,Ambulance,FL,New Ethan,12,4,2,0,Yes,4187.69,7254.84,N
POL101608,PA,400,1158.96,25,MALE,PhD,Manager,hiking,2025-02-11,Parked Car,Unknown,Total Loss,Ambulance,GA,South Ethanton,22,3,1,3,No,5114.48,9488.46,N
POL124588,IL,500,1044.02,44,MALE,Masters,Teacher,hiking,2024-09-27,Multi-vehicle Collision,Rear,Total Loss,,FL,Waltersmouth,4,2,4,3,Yes,17396.23,18674.74,Y
POL125357,OH,600,865.19,51,MALE,College,Lawyer,movies,2025-09-30,Multi-vehicle Collision,Front,Total Loss,Fire,OH,Josephburgh,15,2,0,2,Yes,11269.68,15899.22,N
POL107890,MI,300,1366.82,53,FEMALE,Masters,Engineer,paintball,2025-07-24,Multi-vehicle Collision,Front,Major Damage,Ambulance,MI,New Brittany,13,1,4,4,No,16345.24,14334.19,N
POL112531,MI,500,1425.76,69,FEMALE,Masters,Technician,yachting,2025-01-13,Vehicle Theft,Unknown,Total Loss,Police,FL,Mcclurechester,1,4,2,3,No,3697.12,4471.48,N
POL104629,MI,800,1146.56,49,MALE,Masters,Engineer,chess,2024-07-22,Parked Car,Side,Total Loss,Fire,FL,Colebury,18,3,2,2,Yes,4573.41,6651.76,N
POL108054,IL,300,1089.96,31,OTHER,Masters,Clerk,yachting,2024-05-26,Single Vehicle Collision,Side,Minor Damage,Fire,CA,Anthonybury,1,1,1,4,Yes,7038.69,6881.45,N
POL125929,CA,300,744.32,66,FEMALE,High School,Manager,camping,2025-07-04,Parked Car,Rear,Major Damage,Ambulance,NC,Codyside,21,2,4,2,Yes,16450.12,22930.03,N
POL109729,CA,200,941.57,74,FEMALE,High School,Teacher,yachting,2024-07-06,Parked Car,Front,Total Loss,Police,FL,West Kathy,23,4,1,4,No,5935.62,10259.62,N
POL103929,OH,500,922.79,26,OTHER,College,Teacher,paintball,2024-10-30,Parked Car,Front,Major Damage,Fire,TX,Wilsonbury,12,1,1,1,Yes,7301.7,13116.33,N
POL119394,CA,800,641.5,47,OTHER,PhD,Engineer,hiking,2025-08-09,Parked Car,Side,Total Loss,Police,GA,Kimberlybury,2,3,4,3,Yes,18440.73,24739.97,N
